Pollingfirm,FieldWorkDate,SampleSize,Abs,MacronLREM,LePenNR
Ipsos,22 Apr 2022,"12,129","26,5%",56.5%,43.5%
Cluster17,21–22 Apr 2022,"3,099",25%,56%,44%
Elabe,21–22 Apr 2022,"1,709",28%-32%,55.5%,44.5%
Harris-Interactive,21–22 Apr 2022,"2,379",–,55%,45%
Ipsos-Sopra Steria,21–22 Apr 2022,"1,600","26,5%",57%,43%
OpinionWay-Kéa,20–22 Apr 2022,"2,329",28%,57%,43%
Ifop-Fiducial,18–22 Apr 2022,"3,008",25.5%,55%,45%
BVA,21-21 Apr 2022,"1,504",–,55.5%,44.5%
Odoxa,20–21 Apr 2022,"1,427",–,53%,47%
OpinionWay-Kéa,20–21 Apr 2022,"1,334",28%,56%,44%
AtlasIntel,19–21 Apr 2022,"2,219",–,53%,47%
YouGov,19–21 Apr 2022,"2,521",–,56%,44%
Ipsos-Sopra Steria,19–21 Apr 2022,"1,600",27%,57.5%,42.5%
Cluster17,19–20 Apr 2022,"2,726",26%,55%,45%
Ipsos-Sopra Steria,18–20 Apr 2022,"1,698",28%,56.5%,43.5%
OpinionWay-Kéa,17–20 Apr 2022,"1,709",29%,56%,44%
Ifop-Fiducial,16–20 Apr 2022,"3,008",26.5%,55.5%,44.5%
Elabe,18–19 Apr 2022,"1,598",–,54.5%,45.5%
Ipsos-Sopra Steria,17–19 Apr 2022,"1,687",29%,56.5%,43.5%
OpinionWay-Kéa,16–19 Apr 2022,"1,597",30%,56%,44%
Ifop-Fiducial,15–19 Apr 2022,"3,012",26%,55%,45%
Cluster17,17–18 Apr 2022,"2,793",27%,53.5%,46.5%
Kantar,15–18 Apr 2022,"1,504",–,55%,45%
Harris-Interactive,15–18 Apr 2022,"2,363",–,54%,46%
Ipsos-Sopra Steria,15–18 Apr 2022,"1,682",28%,56%,44%
Ifop-Fiducial,14–18 Apr 2022,"3,015",25.5%,54.5%,45.5%
Ipsos-Sopra Steria,14–16 Apr 2022,"1,676",28%,55.5%,44.5%
Odoxa,14–15 Apr 2022,"1,005",–,53%,47%
Ipsos-Sopra Steria,13–15 Apr 2022,"1,674",29%,56%,44%
OpinionWay-Kéa,12–15 Apr 2022,"1,602",26%,54%,46%
Ifop-Fiducial,12–15 Apr 2022,"1,500",25%,53.5%,46.5%
Cluster17,13–14 Apr 2022,"3,329",27%,53%,47%
BVA,13–14 Apr 2022,"1,502",–,54%,46%
OpinionWay,13–14 Apr 2022,"1,024",–,53%,47%
AtlasIntel,12–14 Apr 2022,"2,431",17.4%,52%,48%
Ipsos-Sopra Steria,12–14 Apr 2022,"1,692",28%,55%,45%
Ifop-Fiducial,11–14 Apr 2022,"1,500",25%,53.5%,46.5%
OpinionWay-Kéa,11–14 Apr 2022,"1,611",27.8%,53%,47%
Elabe,12–13 Apr 2022,"1,627",–,53.5%,46.5%
OpinionWay-Kéa,11–13 Apr 2022,"1,623",26%,53%,47%
Ipsos-Sopra Steria,11–13 Apr 2022,"1,693",27%,55%,45%
Ifop-Fiducial,10–13 Apr 2022,"1,500",25.5%,53%,47%
OpinionWay-Kéa,10–12 Apr 2022,"1,600",–,54%,46%
Ifop-Fiducial,10–12 Apr 2022,"2,004",25.5%,52.5%,47.5%
Harris-Interactive,10–11 Apr 2022,"2,477",–,53%,47%
OpinionWay,10–11 Apr 2022,"1,059",–,54%,46%
OpinionWay-Kéa,10–11 Apr 2022,"2,174",26%,55%,45%
Ifop-Fiducial,10–11 Apr 2022,"1,003",25%,52.5%,47.5%
Odoxa,10 Apr 2022,"1,505",–,54.5%,45.5%
Ipsos-Sopra Steria,10 Apr 2022,"1,172",–,54%,46%
